"lon","lat"
140.563283, 38.23675
135.398894070456, 34.5946359987684
140.563283, 38.23675
141.223629994907, 42.9720170050137
139.161531, 35.597798
139.238463, 35.31147
133.824680996203, 34.5189669977536
139.516762, 35.710865
139.582428, 35.590036
138.810336, 36.11584
139.758528, 35.644646
139.7804578460185, 35.710666690997925
135.725501, 35.00634
135.725501, 35.00634
138.512153, 35.151565
137.795286, 35.813189
138.512153, 35.151565
138.512153, 35.151565
133.726349, 34.18768
139.752222, 35.667528
139.758528, 35.644646
138.082837, 34.949615
130.395325004251, 33.5446089970353
139.55442299892, 35.8682280035601
139.562887, 35.711731
139.758528, 35.644646
139.677525, 35.712228
139.708754, 35.622973
139.673228, 35.673404
131.188845, 31.721038
143.70309, 42.842622
139.708754, 35.622973
136.413257, 34.900803
139.360608, 35.81763
139.640171999185, 35.8454479946091
133.984979994998, 34.5597229953866
139.554970995756, 35.3605670018556
135.500088000121, 34.6607630025342
138.752701, 34.93895
135.22702, 34.71422
135.368241, 34.676657
137.851406, 34.665348
139.582428, 35.590036
139.630936995756, 35.5479000021146